Study,Review,Country,Age,Age group,Vax type,N,Estimate,Vaccine name,If titers: rSBA or hSBA,0,0.5,1,3,5,6,11,12,18,20,22,23,24,28,30,36,48,90,Overall,Wan,Dur,VE,MenB strain,Format,Extra info
2014McQuaid,,UK,3.5 y,Infants,"Catch-up (40,42 m)",2,Titers,4CMenB/Bexsero,hSBA,"0 (0, 9)","100 (89, 100)",,,,,,,,"100 (86, 100)",,,,,,,,,,,,,5/99 for NadA,Yes,
2014McQuaid,,UK,3.5 y,Infants,"Catch-up (40,42 m)",2,Titers,4CMenB/Bexsero,hSBA,"0 (0, 9)","90 (74, 98)",,,,,,,,"0 (0, 14)",,,,,,,,,,,,,NZ98/254 for PorA,Yes,
2014McQuaid,,UK,3.5 y,Infants,"Catch-up (40,42 m)",2,Titers,4CMenB/Bexsero,hSBA,"53 (36, 68)","72 (53, 87)",,,,,,,,"83 (61, 95)",,,,,,,,,,,,,M10713 for NHBA,Yes,
2015McQuaid,,UK,3.5 y,Infants,"Primary (2,4,6 m), booster (12, 40 m)",3+1+1,Titers,4CMenB/Bexsero,hSBA,,,"100 (79, 100)",,,,,,,"44 (20, 70)",,,,,,,,,,"0.46009993117652026 (0.35702998664713215, 0.5631698757059084)","2.1734408815122026 (1.7756631580241122, 2.8008851844378615)",,44/76-SL for fHbp,Yes,
2015McQuaid,,UK,3.5 y,Infants,"Primary (2,4,6 m), booster (12, 40 m)",3+1+1,Titers,4CMenB/Bexsero,hSBA,,,"100 (78, 100)",,,,,,,"88 (62, 98)",,,,,,,,,,"0.07605442522277112 (0.07548206116089147, 0.07662678928465076)","13.148478830402027 (13.050266223281675, 13.248180887224061)",,5/99 for NadA,Yes,
2015McQuaid,,UK,3.5 y,Infants,"Primary (2,4,6 m), booster (12, 40 m)",3+1+1,Titers,4CMenB/Bexsero,hSBA,,,"88 (62, 98)",,,,,,,"69 (41, 89)",,,,,,,,,,"0.2319669627062989 (0.07847237639866558, 0.38546154901393226)","4.310958717281363 (2.5942924853546305, 12.743337794686754)",,NZ98/254 for PorA,Yes,
2015McQuaid,,UK,3.5 y,Infants,"Primary (2,4,6 m), booster (12, 40 m)",3+1+1,Titers,4CMenB/Bexsero,hSBA,,,"93 (68, 100)",,,,,,,"88 (62, 98)",,,,,,,,,,"0.07948815683803645 (0.04003077521820108, 0.11894553845787181)","12.580490475299118 (8.407208987953595, 24.980780275904394)",,M10713 for NHBA,Yes,
2015McQuaid,,UK,3.5 y,Infants,"Primary (12 m), booster (40, 42 m)",1+2,Titers,4CMenB/Bexsero,hSBA,,,"100 (48, 100)",,,,,,"80 (28, 99)",,,,,,,,,,,"0.1474152940107213 (0.14518613869632555, 0.14964444932511703)","6.783556663579774 (6.6825064645558845, 6.8877098666534655)",,44/76-SL for fHbp,Yes,
2015McQuaid,,UK,3.5 y,Infants,"Primary (12 m), booster (40, 42 m)",1+2,Titers,4CMenB/Bexsero,hSBA,,,"100 (48, 100)",,,,,,"100 (48, 100)",,,,,,,,,,,,,,5/99 for NadA,Yes,
2015McQuaid,,UK,3.5 y,Infants,"Primary (12 m), booster (40, 42 m)",1+2,Titers,4CMenB/Bexsero,hSBA,,,"100 (48, 100)",,,,,,"80 (28, 99)",,,,,,,,,,,"0.1474152940107213 (0.14518613869632555, 0.14964444932511703)","6.783556663579774 (6.6825064645558845, 6.8877098666534655)",,NZ98/254 for PorA,Yes,
2015McQuaid,,UK,3.5 y,Infants,"Primary (12 m), booster (40, 42 m)",1+2,Titers,4CMenB/Bexsero,hSBA,,,"100 (48, 100)",,,,,,"100 (48, 100)",,,,,,,,,,,,,,M10713 for NHBA,Yes,
2015McQuaid,,UK,3.5 y,Infants,"Catch-up (40, 42 m)",2,Titers,4CMenB/Bexsero,hSBA,,,"100 (87, 100)",,,,,,"71 (51, 87)",,,,,,,,,,,"0.21841211033170985 (0.20451434602605487, 0.23230987463736483)","4.578500699806738 (4.304595323642603, 4.889632534006203)",,44/76-SL for fHbp,Yes,
2015McQuaid,,UK,3.5 y,Infants,"Catch-up (40, 42 m)",2,Titers,4CMenB/Bexsero,hSBA,,,"100 (87, 100)",,,,,,"100 (88, 100)",,,,,,,,,,,,,,5/99 for NadA,Yes,
